"","Sample","ID","Temp","Time"
"cat.1_vial.1","cat 1_vial 1","Cat_1","-80C","12 Months"
"cat.2_vial.1","cat 2_vial 1","Cat_2","-80C","12 Months"
"cat.3_vial.1","cat 3_vial 1","Cat_3","-80C","12 Months"
"cat.4_vial.1","cat 4_vial 1","Cat_4","-80C","12 Months"
"cat.5_vial.1","cat 5_vial 1","Cat_5","-80C","12 Months"
"cat.6_vial.1","cat 6_vial 1","Cat_6","-80C","12 Months"
"cat.7_vial.1","cat 7_vial 1","Cat_7","-80C","12 Months"
"cat.8_vial.1","cat 8_vial 1","Cat_8","-80C","12 Months"
"cat.1_vial.2","cat 1_vial 2","Cat_1","-20C","6 Months"
"cat.2_vial.2","cat 2_vial 2","Cat_2","-20C","6 Months"
"cat.3_vial.2","cat 3_vial 2","Cat_3","-20C","6 Months"
"cat.4_vial.2","cat 4_vial 2","Cat_4","-20C","6 Months"
"cat.5_vial.2","cat 5_vial 2","Cat_5","-20C","6 Months"
"cat.6_vial.2","cat 6_vial 2","Cat_6","-20C","6 Months"
"cat.7_vial.2","cat 7_vial 2","Cat_7","-20C","6 Months"
"cat.8_vial.2","cat 8_vial 2","Cat_8","-20C","6 Months"
"cat.1_vial.3","cat 1_vial 3","Cat_1","-20C","12 Months"
"cat.2_vial.3","cat 2_vial 3","Cat_2","-20C","12 Months"
"cat.3_vial.3","cat 3_vial 3","Cat_3","-20C","12 Months"
"cat.4_vial.3","cat 4_vial 3","Cat_4","-20C","12 Months"
"cat.5_vial.3","cat 5_vial 3","Cat_5","-20C","12 Months"
"cat.6_vial.3","cat 6_vial 3","Cat_6","-20C","12 Months"
"cat.7_vial.3","cat 7_vial 3","Cat_7","-20C","12 Months"
"cat.8_vial.3","cat 8_vial 3","Cat_8","-20C","12 Months"
